product_id,sku,product_name,category,brand,supplier,supplier_email,supplier_phone,cost_price,selling_price,current_stock,minimum_stock,maximum_stock,reorder_level,batch_number,manufacturing_date,expiry_date,warehouse,daily_sales,weekly_sales,monthly_sales,yearly_sales,today_sales,today_revenue,today_profit,profit_margin,last_purchase_date,last_sale_date,customer_rating,sales_velocity,is_fast_moving,is_slow_moving,recommended_reorder_qty,recommended_not_to_reorder,supplier_rank,growth_score
1,SKU-DAI-0001,Premium Milk Batch,Dairy,Amul,Prime Fresh Produce Co.,info@primefresh.com,+91-98200-12121,22.24,29.86,55,35,192,49,BATCH-260630-0001,2026-06-30,2026-07-20,Warehouse A - Main,46,291,1263,16825,24,716.64,182.88,25.52,2026-07-03,2026-07-17,4.0,0.8364,0,0,0,0,3,100
2,SKU-DAI-0002,Premium Milk Batch,Dairy,Mother Dairy,Sunrise Wholesale Traders,sales@sunrisewholesale.com,+91-98200-33344,60.38,73.79,47,29,184,69,BATCH-260704-0002,2026-07-04,2026-07-24,Warehouse C - Dry Goods,31,210,886,10249,16,1180.64,214.56,18.17,2026-07-13,2026-07-16,3.3,0.6596,0,0,0,0,3,100
3,SKU-DAI-0003,Premium Milk Batch,Dairy,Nestle,National FMCG Hub,orders@nationalfmcg.com,+91-98200-99900,27.5,31.37,111,34,331,53,BATCH-260726-0003,2026-07-26,2026-07-31,Store Backroom,54,403,1456,18568,63,1976.31,243.81,12.34,2026-06-27,2026-07-15,3.5,0.4865,0,1,0,1,2,100
4,SKU-DAI-0004,Premium Milk Batch,Dairy,Vriddhi Farms,Vriddhi Farm Direct,supply@vriddhifarms.com,+91-98200-55566,79.32,104.07,104,55,211,86,BATCH-260726-0004,2026-07-26,2026-08-16,Store Backroom,18,134,589,6310,10,1040.7,247.5,23.78,2026-06-18,2026-07-15,3.8,0.1731,0,0,0,0,4,100
5,SKU-DAI-0005,Curd,Dairy,Amul,Sunrise Wholesale Traders,sales@sunrisewholesale.com,+91-98200-33344,32.22,38.47,68,55,292,73,BATCH-260712-0005,2026-07-12,2026-07-20,Store Backroom,23,149,688,9253,31,1192.57,193.75,16.25,2026-06-21,2026-07-15,4.0,0.3382,0,0,0,0,1,100
6,SKU-DAI-0006,Curd,Dairy,Mother Dairy,National FMCG Hub,orders@nationalfmcg.com,+91-98200-99900,31.34,40.3,19,20,294,53,BATCH-260713-0006,2026-07-13,2026-07-24,Warehouse C - Dry Goods,31,228,885,10380,20,806.0,179.2,22.23,2026-06-30,2026-07-17,4.1,1.6316,1,0,275,0,1,100
7,SKU-BAK-0007,Bread,Bakery,Britannia,Prime Fresh Produce Co.,info@primefresh.com,+91-98200-12121,48.0,56.62,70,43,338,58,BATCH-260725-0007,2026-07-25,2026-07-31,Store Backroom,36,227,1219,15130,47,2661.14,405.14,15.22,2026-07-15,2026-07-17,4.8,0.5143,0,0,0,0,1,100
8,SKU-BAK-0008,Bread,Bakery,Modern,Global Foods Distributors,orders@globalfoods.com,+91-98200-11122,78.57,100.55,61,28,160,59,BATCH-260810-0008,2026-08-10,2026-08-16,Store Backroom,35,263,1025,11302,36,3619.8,791.28,21.86,2026-06-24,2026-07-16,3.9,0.5738,0,0,0,0,3,100
9,SKU-VEG-0009,Tomato,Vegetables,Farm Fresh,Global Foods Distributors,orders@globalfoods.com,+91-98200-11122,31.11,35.44,37,21,271,48,BATCH-260710-0009,2026-07-10,2026-07-20,Warehouse B - Cold Storage,64,484,2127,19350,47,1665.68,203.51,12.22,2026-07-10,2026-07-15,3.4,1.7297,0,0,0,0,5,100
10,SKU-VEG-0010,Spinach,Vegetables,Local Produce,Metro Grocery Supplies,contact@metrogrocery.com,+91-98200-77788,67.49,79.44,45,26,294,49,BATCH-260716-0010,2026-07-16,2026-07-24,Warehouse B - Cold Storage,64,408,2008,24725,35,2780.4,418.25,15.04,2026-06-21,2026-07-17,3.6,1.4222,0,0,0,0,2,100
11,SKU-FRU-0011,Banana,Fruits,Farm Fresh,Metro Grocery Supplies,contact@metrogrocery.com,+91-98200-77788,26.93,33.9,111,24,237,59,BATCH-260721-0011,2026-07-21,2026-07-31,Store Backroom,148,1133,5007,61554,98,3322.2,683.06,20.56,2026-07-10,2026-07-16,4.8,1.3333,0,1,0,1,2,100
12,SKU-FRU-0012,Apple,Fruits,Farm Fresh,Vriddhi Farm Direct,supply@vriddhifarms.com,+91-98200-55566,75.22,101.96,153,38,246,70,BATCH-260802-0012,2026-08-02,2026-08-16,Store Backroom,70,511,1882,23472,102,10399.92,2727.48,26.23,2026-06-29,2026-07-17,4.5,0.4575,0,1,0,1,1,100
13,SKU-PER-0013,Body Lotion,Personal Care,Colgate,National FMCG Hub,orders@nationalfmcg.com,+91-98200-99900,119.88,134.48,99,42,218,76,BATCH-260612-0013,2026-06-12,2028-01-21,Store Backroom,34,249,1111,14384,33,4437.84,481.8,10.86,2026-07-01,2026-07-17,3.9,0.3434,0,0,0,0,4,100
14,SKU-VEG-0014,Onion,Vegetables,Local Produce,Sunrise Wholesale Traders,sales@sunrisewholesale.com,+91-98200-33344,78.75,100.82,48,45,296,73,BATCH-260519-0014,2026-05-19,2026-05-27,Warehouse A - Main,12,90,325,3959,9,907.38,198.63,21.89,2026-07-06,2026-07-16,3.7,0.25,0,0,0,0,4,100
15,SKU-OIL-0015,Groundnut Oil,Oil & Ghee,Dhara,Metro Grocery Supplies,contact@metrogrocery.com,+91-98200-77788,25.43,32.6,27,42,199,72,BATCH-260517-0015,2026-05-17,2027-05-03,Warehouse C - Dry Goods,28,186,925,10716,20,652.0,143.4,21.99,2026-07-13,2026-07-15,4.9,1.037,1,0,172,0,4,100
16,SKU-VEG-0016,Spinach,Vegetables,Local Produce,Sunrise Wholesale Traders,sales@sunrisewholesale.com,+91-98200-33344,54.38,76.63,53,27,326,63,BATCH-260416-0016,2026-04-16,2026-04-22,Warehouse C - Dry Goods,42,319,1288,17832,36,2758.68,801.0,29.04,2026-07-14,2026-07-15,4.4,0.7925,0,0,0,0,2,100
17,SKU-SNA-0017,Namkeen,Snacks & Biscuits,Sunfeast,Prime Fresh Produce Co.,info@primefresh.com,+91-98200-12121,188.12,217.53,63,56,356,67,BATCH-260531-0017,2026-05-31,2026-11-18,Warehouse C - Dry Goods,12,81,397,4944,7,1522.71,205.87,13.52,2026-06-18,2026-07-16,4.5,0.1905,0,0,0,0,4,100
18,SKU-BEV-0018,Coffee,Beverages,Bisleri,National FMCG Hub,orders@nationalfmcg.com,+91-98200-99900,246.3,315.62,139,50,269,73,BATCH-260411-0018,2026-04-11,2027-02-03,Warehouse C - Dry Goods,56,372,1899,18632,53,16727.86,3673.96,21.96,2026-06-28,2026-07-15,4.4,0.4029,0,1,0,1,3,100
19,SKU-PER-0019,Body Lotion,Personal Care,Pears,Sunrise Wholesale Traders,sales@sunrisewholesale.com,+91-98200-33344,142.39,174.63,107,36,223,54,BATCH-260410-0019,2026-04-10,2027-08-11,Warehouse A - Main,24,183,630,9531,23,4016.49,741.52,18.46,2026-06-24,2026-07-16,4.4,0.2243,0,1,0,1,4,100
20,SKU-FRU-0020,Mango,Fruits,Local Produce,Global Foods Distributors,orders@globalfoods.com,+91-98200-11122,34.13,42.37,64,35,213,66,BATCH-260612-0020,2026-06-12,2026-06-19,Warehouse B - Cold Storage,45,310,1449,15313,54,2287.98,444.96,19.45,2026-07-08,2026-07-17,3.4,0.7031,0,0,0,0,2,100
21,SKU-PER-0021,Shampoo,Personal Care,Colgate,Sunrise Wholesale Traders,sales@sunrisewholesale.com,+91-98200-33344,85.44,108.1,114,57,351,83,BATCH-260711-0021,2026-07-11,2027-08-07,Store Backroom,31,210,874,12256,19,2053.9,430.54,20.96,2026-06-29,2026-07-16,4.5,0.2719,0,0,0,0,2,100
22,SKU-STA-0022,Toor Dal,Staples,Aashirvaad,Global Foods Distributors,orders@globalfoods.com,+91-98200-11122,264.36,341.61,101,50,272,74,BATCH-260515-0022,2026-05-15,2026-11-29,Warehouse C - Dry Goods,14,93,465,4321,7,2391.27,540.75,22.61,2026-06-28,2026-07-15,4.4,0.1386,0,0,0,0,2,100
23,SKU-FRU-0023,Banana,Fruits,Farm Fresh,Global Foods Distributors,orders@globalfoods.com,+91-98200-11122,79.6,91.98,58,46,301,75,BATCH-260429-0023,2026-04-29,2026-05-13,Warehouse B - Cold Storage,12,90,412,4039,13,1195.74,160.94,13.46,2026-07-13,2026-07-17,4.3,0.2069,0,0,0,0,3,100
24,SKU-SNA-0024,Biscuits,Snacks & Biscuits,Britannia,Sunrise Wholesale Traders,sales@sunrisewholesale.com,+91-98200-33344,68.67,78.46,42,20,224,44,BATCH-260707-0024,2026-07-07,2026-12-31,Warehouse B - Cold Storage,22,139,618,7332,29,2275.34,283.91,12.48,2026-07-09,2026-07-16,4.6,0.5238,0,0,0,0,5,100
25,SKU-FRO-0025,Frozen Peas,Frozen Foods,Amul,Metro Grocery Supplies,contact@metrogrocery.com,+91-98200-77788,52.14,61.91,7,29,197,65,BATCH-260608-0025,2026-06-08,2027-04-03,Warehouse A - Main,30,223,1013,10683,29,1795.39,283.33,15.78,2026-07-04,2026-07-16,4.1,4.2857,1,0,190,0,4,100
26,SKU-SNA-0026,Biscuits,Snacks & Biscuits,Lays,Metro Grocery Supplies,contact@metrogrocery.com,+91-98200-77788,225.67,293.62,79,21,144,38,BATCH-260612-0026,2026-06-12,2026-11-22,Warehouse B - Cold Storage,5,35,170,2189,5,1468.1,339.75,23.14,2026-07-15,2026-07-17,4.0,0.0633,0,1,0,1,4,91.0
27,SKU-FRU-0027,Orange,Fruits,Vriddhi Farms,National FMCG Hub,orders@nationalfmcg.com,+91-98200-99900,43.33,59.11,39,25,245,46,BATCH-260712-0027,2026-07-12,2026-07-22,Store Backroom,50,349,1573,17523,63,3723.93,994.14,26.7,2026-07-14,2026-07-16,3.7,1.2821,0,0,0,0,1,100
28,SKU-SNA-0028,Cookies,Snacks & Biscuits,Parle,National FMCG Hub,orders@nationalfmcg.com,+91-98200-99900,250.98,281.18,19,54,272,77,BATCH-260612-0028,2026-06-12,2026-11-19,Warehouse B - Cold Storage,30,215,899,10696,16,4498.88,483.2,10.74,2026-07-12,2026-07-16,4.0,1.5789,1,0,253,0,4,100
29,SKU-DAI-0029,Butter,Dairy,Nestle,Prime Fresh Produce Co.,info@primefresh.com,+91-98200-12121,25.29,32.5,85,55,259,67,BATCH-260524-0029,2026-05-24,2026-06-11,Warehouse B - Cold Storage,91,592,3084,30449,109,3542.5,785.89,22.18,2026-07-01,2026-07-17,4.0,1.0706,0,0,0,0,2,100
